cat,isLeasable
Home & Kitchen/Furniture/Kitchen Furniture/Kitchen Storage Islands & Carts/Stationary Kitchen Storage Islands,True
Home & Kitchen/Furniture/Kitchen Furniture/Kitchen Storage Islands & Carts/Kitchen Storage Carts,True
"Home & Kitchen/Furniture/Living Room Furniture/Bean Bags, Covers & Refills/Bean Bag Covers",True
"Home & Kitchen/Furniture/Living Room Furniture/Bean Bags, Covers & Refills/Bean Bag Refills",True
"Home & Kitchen/Furniture/Living Room Furniture/Bean Bags, Covers & Refills/Bean Bag Chairs",True
Home & Kitchen/Furniture/Living Room Furniture/Chaise Lounges,True
Home & Kitchen/Furniture/Living Room Furniture/Futons/Futon Mattresses,True
Home & Kitchen/Furniture/Living Room Furniture/Poufs,True
Home & Kitchen/Furniture/Living Room Furniture/Living Room Tables/Living Room Table Sets,True
Home & Kitchen/Furniture/Living Room Furniture/Living Room Tables/Pedestal Tables,True
Home & Kitchen/Furniture/Living Room Furniture/TV & Media Furniture/Audio-Video Shelving,True
Home & Kitchen/Furniture/Living Room Furniture/TV & Media Furniture/Home Theater Seating,True
Home & Kitchen/Furniture/Living Room Furniture/TV & Media Furniture/Media Storage/Audio Cassette Storage Products,True
Home & Kitchen/Furniture/Living Room Furniture/TV & Media Furniture/Media Storage/DVD Cases,True
Home & Kitchen/Furniture/Furniture Replacement Parts/Bed Replacement Parts,True
Home & Kitchen/Furniture/Furniture Replacement Parts/Recliner Replacement Parts,True
Home & Kitchen/Furniture/Furniture Replacement Parts/Sofa Replacement Parts,True
Home & Kitchen/Furniture/Kids' Furniture/Kids' Bedroom Sets,True
Home & Kitchen/Furniture/Kids' Furniture/Children's Poufs,True
Home & Kitchen/Furniture/Kitchen Furniture/Baker's Racks/Corner Baker's Racks,True
Home & Kitchen/Furniture/Living Room Furniture/Living Room Tables/Telephone Tables,True
